Week,Date,Day,Weight,Calories,Macro Split (C/F/P),Protein (g),Workout,Conditioning (cal estimated using apps),Steps,Cal (cond),Cal (walk),Notes
,2022-09-22,Th,,,,,,,10041,,401.64,
,2022-09-23,F,,1871,,142,,Bike (45 min),7119,,284.76,
,2022-09-24,Sa,182.4,2013,,171,"Madcow W2D3: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (30 min),7278,,291.12,
,2022-09-25,Su,181.6,1891,,130,"Madcow W3D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (25 min),7202,,288.08,
123,2022-09-26,M,,1799,,148,,Bike (25 min),7161,,286.44,
,2022-09-27,Tu,,2038,,137,,,7199,,287.96,
,2022-09-28,W,182.8,1831,,160,"Madcow W3D2: Weighted Rpushup, TBarDL, Rope FacePull",,7309,,292.36,
,2022-09-29,Th,,1961,,142,,Bike (20 min),7262,,290.48,
,2022-09-30,F,,1864,,134,,Bike (40 min),7254,,290.16,
,2022-10-01,Sa,181.2,1983,,112,,,8238,,329.52,
,2022-10-02,Su,,1859,,118,"Madcow W3D3: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",,7278,,291.12,
124,2022-10-03,M,182.2,1829,,136,,Bike (45 min),7261,,290.44,
,2022-10-04,Tu,,1848,,160,"Madcow W4D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",EMOM 10 min: PPress/KB Farmers,7419,,296.76,
,2022-10-05,W,,1833,,137,,Bike (20 min),7279,,291.16,
,2022-10-06,Th,182.6,2011,,141,"Madcow W4D2: Weighted Rpushup, TBarDL, Rope FacePull","21/15/9 DU, KBAm, DB Snatch",7141,,285.64,
,2022-10-07,F,182.6,,,,,,5464,,218.56,
,2022-10-08,Sa,181.2,1895,,122,"Madcow W4D3: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",Bike (30 min),7906,,316.24,
,2022-10-09,Su,181.2,1935,,80,,Bike (25 min),7337,,293.48,
125,2022-10-10,M,,1718,,151,"Madcow W5D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",,7266,,290.64,
,2022-10-11,Tu,,2005,,129,,,7381,,295.24,
,2022-10-12,W,181.8,1860,,161,,,7297,,291.88,
,2022-10-13,Th,,2136,,128,,Bike (30 min),7218,,288.72,
,2022-10-14,F,181.8,2035,,138,"Madcow W5D2: DB Bench, Rope FacePull, TbarDL",,7435,,297.4,
,2022-10-15,Sa,180.4,1690,,121,,Bike (40 min),8399,,335.96,
,2022-10-16,Su,,2082,,164,"Madcow W5D3: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",,5768,,230.72,
126,2022-10-17,M,,1963,,124,,Bike (20 min),7072,,282.88,
,2022-10-18,Tu,,1821,,141,"Madcow W6D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",,7097,,283.88,
,2022-10-19,W,,1871,,139,,Bike (30 min),7148,,285.92,
,2022-10-20,Th,,1872,,137,"Madcow W6D2: DB Bench, Rope FacePull, TbarDL",,7244,,289.76,
,2022-10-21,F,181.4,1888,,146,,,7404,,296.16,
,2022-10-22,Sa,180,1894,,159,"Madcow W6D3: SwissBar Press, DTbarDL, BBrow, Tricep PushDown",EMOM 10 min: PPress/KB Lunge,7442,,297.68,
,2022-10-23,Su,180.8,1912,,140,"Madcow W7D1: SwissBar Press, DTbarDL, BBrow, Tricep PushDown, Hammer Curl",Bike (25 min),7674,,306.96,
